model,timestamp,total_cases,errors,total_time_s,avg_time_per_case_s,metastatic_accuracy,metastatic_correct,therapy_exact_match_rate,therapy_exact_matches,therapy_acceptable_rate,therapy_acceptable,judge_model,judge_accuracy,judge_correct,judge_incorrect,judge_semantic_match_rate,judge_semantic_matches,avg_semantic_score,clinical_ok_rate,clinical_ok_count,avg_clinical_score,avg_reasoning_quality,avg_overall_score
gemma-3-27b-it,2026-01-09_23-16-29,35,0,129.0,3.7,100.0%,11,28.6%,10,31.4%,11,openai/gpt-5.2,60.0%,21,14,57.1%,20,0.713,97.1%,34,0.812,0.619,0.734
olmo-3.1-32b-think,2026-01-09_23-15-14,35,0,1210.2,34.6,100.0%,11,22.9%,8,22.9%,8,openai/gpt-5.2,57.1%,20,15,48.6%,17,0.649,91.4%,32,0.787,0.620,0.696
medgemma-27b-text-it,2026-01-09_23-16-39,35,0,200.2,5.7,100.0%,11,37.1%,13,31.4%,11,openai/gpt-5.2,57.1%,20,15,57.1%,20,0.709,97.1%,34,0.814,0.656,0.742
meditron3-qwen2.5-7b,2026-01-09_23-16-44,35,0,11.5,0.3,81.8%,9,8.6%,3,25.7%,9,openai/gpt-5.2,54.3%,19,16,54.3%,19,0.611,74.3%,26,0.667,0.457,0.602
olmo-3.1-32b-instruct,2026-01-09_23-16-53,35,0,68.5,2.0,90.9%,10,14.3%,5,20.0%,7,openai/gpt-5.2,51.4%,18,17,48.6%,17,0.633,85.7%,30,0.761,0.608,0.678
gemma-3-4b-it,2026-01-09_23-16-15,35,0,33.6,1.0,63.6%,7,17.1%,6,20.0%,7,openai/gpt-5.2,42.9%,15,20,42.9%,15,0.549,71.4%,25,0.640,0.440,0.564
